date,ticker,current_price,avg_target,max_target,min_target,pe_ttm,pe_fwd,analysts,rating
2026-08-20,A,156.3,160.166667,185.0,135.0,31.392476249774045,25.802962437622206,24.0,1.375
2026-08-20,AAPL,311.3,334.234054,400.0,245.0,35.68603624775028,35.22510915483954,47.0,1.531915
2026-08-20,ABBV,261.83,278.923077,303.0,230.0,74.030196788057,18.66151540514048,32.0,1.3125
2026-08-20,ABNB,185.0,176.861111,215.0,125.0,42.05023298102057,35.03819731694531,45.0,1.6
2026-08-20,ABT,114.14,119.916667,135.0,103.0,36.89314112095158,20.692707135104307,27.0,1.259259
2026-08-20,ACGL,99.31,111.525,134.0,95.0,7.760230673657725,10.573099016736926,23.0,1.565217
2026-08-20,ACN,181.35,175.409091,275.0,130.0,14.482742097781468,13.083630189010298,28.0,1.5
2026-08-20,ADBE,272.22,253.896552,380.0,190.0,15.56975274395301,11.155428118547016,40.0,1.825
2026-08-20,ADI,370.24,467.172414,550.0,365.0,43.936013670669766,28.88383602057131,35.0,1.257143
2026-08-20,ADM,81.7,82.777778,95.0,77.0,22.36395488886456,15.612101385024612,13.0,2.038462
2026-08-20,ADP,279.21,288.642857,322.0,225.0,25.515174222555263,22.778262777499176,21.0,1.880952
2026-08-20,ADSK,251.02,314.6,375.0,255.0,36.678453490750755,19.949562622807193,37.0,1.216216
2026-08-20,AEE,108.79,121.571429,136.0,113.0,19.150134661761342,20.182164487516054,19.0,1.447368
2026-08-20,AEP,125.7,142.777778,153.0,129.0,21.78283020829723,19.707442467829598,24.0,1.541667
2026-08-20,AES,14.77,15.0,15.0,15.0,5.519844532476268,6.45295177762001,8.0,2.0
2026-08-20,AFL,116.17,118.214286,138.0,99.0,12.449497926333951,16.54315667695161,17.0,2.176471
2026-08-20,AIG,75.75,88.7,101.0,81.0,13.877693096878206,9.424110345321797,27.0,1.685185
2026-08-20,AIZ,282.0,322.333333,355.0,274.0,13.38224337650135,12.799319112533338,10.0,1.3
2026-08-20,AJG,259.61,295.0,388.0,265.0,42.95476355935008,19.602039560466114,27.0,1.351852
2026-08-20,AKAM,110.09,158.666667,195.0,93.0,39.71357454637279,16.39865366889526,27.0,1.555556
2026-08-20,ALAB,290.52,413.445595,500.0,280.0,143.04283604135892,73.53506963709334,24.0,1.395833
2026-08-20,ALB,134.19,177.111111,225.0,155.0,,11.556035361003174,24.0,1.395833
2026-08-20,ALGN,158.94,209.571429,240.0,170.0,27.572209211553474,14.076083649876947,20.0,1.55
2026-08-20,ALL,254.54,275.681818,334.0,211.0,5.08321584196379,7.286724537737141,29.0,1.793103
2026-08-20,ALLE,161.72,175.1,200.0,160.0,21.216136438176452,18.06757195942326,14.0,1.607143
2026-08-20,ALNY,229.3,373.048,536.0,230.0,38.71414340947847,35.2349338772595,32.0,1.296875
2026-08-20,AMAT,496.21,662.909091,900.0,425.0,42.7959085107117,38.72795967315884,40.0,1.225
2026-08-20,AMCR,47.81,49.032211,56.0,41.0118,20.052847915443337,,25.0,1.62
2026-08-20,AMD,469.455,623.093617,1250.0,365.0,120.4812010778904,61.43094833220906,56.0,1.276786
2026-08-20,AME,239.08,281.058824,316.0,245.0,34.946063671178415,28.76747008943569,22.0,1.363636
2026-08-20,AMGN,433.73,391.259259,457.0,230.0,26.943098521555477,18.795439121354715,35.0,1.728571
2026-08-20,AMP,547.09,577.3,645.0,489.0,13.197010777796006,11.79346991115244,15.0,1.7
2026-08-20,AMT,175.72,215.727273,260.0,188.0,24.160926178003272,25.202424722241943,26.0,1.153846
2026-08-20,AMZN,260.11,329.632903,405.0,230.0,20.921609317439636,20.572458657551966,70.0,1.107143
2026-08-20,ANET,183.75,249.965607,330.0,215.0,57.932404313008384,44.74493560381921,33.0,1.045455
2026-08-20,AON,351.93,406.210526,445.0,339.0,19.40494373101163,18.442665153508344,27.0,1.537037
2026-08-20,AOS,62.43,69.7,84.0,59.0,17.405001533357495,16.718118016041682,16.0,1.8125
2026-08-20,APA,44.39,44.2,57.0,31.0,9.387556570655162,7.637964278622751,30.0,1.816667
2026-08-20,APD,300.33,344.684211,365.0,314.0,,22.372384552931102,25.0,1.38
2026-08-20,APH,153.11,200.5,230.0,175.0,38.330204030542,29.089595040766476,22.0,1.227273
2026-08-20,APO,129.98,154.263158,173.0,130.0,49.164082003177235,14.824354550933142,23.0,1.326087
2026-08-20,APP,308.77,522.677419,790.0,325.0,23.732917249542666,19.490725035781704,38.0,1.236842
2026-08-20,APTV,47.03,66.611111,78.0,55.0,27.80372450487733,8.180768011127098,23.0,1.217391
2026-08-20,ARE,52.94,52.071429,60.0,46.0,,32.92902904770791,17.0,2.029412
2026-08-20,ARES,140.23,149.944444,168.0,122.0,63.941452738133236,23.905121403342964,21.0,1.428571
2026-08-20,ARM,250.72,295.005882,480.0,130.0,257.20147722609767,112.63728117898958,43.0,1.383721
2026-08-20,ASML,1750.31,2373.233077,2859.0,2045.0,54.49114286603779,40.19140948949968,42.0,1.214286
2026-08-20,ATO,170.52,188.888889,200.0,173.0,20.300241669543684,20.17191315430662,15.0,1.766667
2026-08-20,AVGO,364.03,536.104712,675.0,400.0,60.6009655402031,31.407558693215023,55.0,1.154545
2026-08-20,AVY,182.68,201.8,225.0,181.0,19.99452744486401,17.958088291312674,14.0,1.428571
2026-08-20,AWK,137.21,141.909091,155.0,128.0,23.753548923204768,22.56094422837904,17.0,1.852941
2026-08-20,AXON,614.26,725.0,830.0,600.0,254.39410254286423,79.7414873047907,22.0,1.204545
2026-08-20,AXP,331.15,378.666667,450.0,315.0,20.09161509525543,18.76989111082556,32.0,1.578125
2026-08-20,AZO,2961.99,3961.909091,4800.0,3200.0,20.364471646055758,19.602594505456274,31.0,1.209677
