date,ticker,current_price,avg_target,max_target,min_target,pe_ttm,pe_fwd,analysts,rating
2026-09-18,A,156.34,175.578947,190.0,155.0,30.781043885727783,25.207188611652093,26.0,1.384615
2026-09-18,AAPL,337.0,337.258798,405.0,245.0,38.632169018605346,38.15014584223409,46.0,1.565217
2026-09-18,ABBV,264.02,279.730769,315.0,230.0,74.64940058810224,18.791695809975682,32.0,1.3125
2026-09-18,ABNB,165.93,185.315789,220.0,135.0,37.71564950562564,31.177115061836584,47.0,1.542553
2026-09-18,ABT,102.23,120.75,135.0,103.0,33.04350636757386,18.529988111298834,29.0,1.275862
2026-09-18,ACGL,96.7,111.325,134.0,95.0,7.556281403108469,10.297666455069322,23.0,1.565217
2026-09-18,ACN,190.29,183.73913,275.0,130.0,15.196696960500885,13.725937412495256,30.0,1.583333
2026-09-18,ADBE,252.67,268.906875,373.0,195.0,14.091238636997378,10.322083146469327,43.0,1.790698
2026-09-18,ADI,362.65,477.607143,675.0,405.0,43.035315896900364,28.18199515159333,35.0,1.171429
2026-09-18,ADM,88.09,85.0,95.0,77.0,24.113106317748823,16.39652145814941,13.0,1.961538
2026-09-18,ADP,272.24,289.357143,322.0,225.0,24.87823154739603,22.208662226674544,20.0,1.9
2026-09-18,ADSK,218.64,312.28125,375.0,215.0,28.321977253296716,17.36186107970066,39.0,1.217949
2026-09-18,AEE,103.9,121.285714,136.0,113.0,18.289355559858475,19.272615505384927,19.0,1.447368
2026-09-18,AEP,121.62,142.083333,153.0,129.0,21.075798010605485,19.05168894585354,25.0,1.54
2026-09-18,AES,14.85,15.0,15.0,15.0,5.549742133193811,6.487903446016055,7.0,2.0
2026-09-18,AFL,116.6,118.533333,138.0,99.0,12.49557939408228,16.632849392544376,18.0,2.138889
2026-09-18,AIG,75.68,88.65,101.0,81.0,13.864868826029607,9.412229406177621,27.0,1.685185
2026-09-18,AIZ,283.81,330.0,355.0,320.0,13.46813649888244,12.729977007905944,10.0,1.3
2026-09-18,AJG,241.41,294.555556,388.0,265.0,39.94341308448327,18.217842105243296,27.0,1.333333
